iter	RMSE
0	3.075927309
1	2.98112042
2	2.893350377
3	2.812765296
4	2.737308006
5	2.667700769
6	2.602363884
7	2.543765144
8	2.489541309
9	2.440125906
10	2.393614316
11	2.35079811
12	2.311385845
13	2.276110422
14	2.242811651
15	2.211908469
16	2.184328876
17	2.157954987
18	2.135018063
19	2.113323166
20	2.093333769
21	2.075578339
22	2.058884098
23	2.044897917
24	2.030230451
25	2.016699922
26	2.00359118
27	1.992462017
28	1.98256816
29	1.973410431
30	1.965257392
31	1.956750687
32	1.948787566
33	1.941446214
34	1.936100833
35	1.929751272
36	1.924247522
37	1.919840887
38	1.91548474
39	1.911046918
40	1.906388209
41	1.902617369
42	1.899469237
43	1.896611259
44	1.893229998
45	1.8902566
46	1.887503806
47	1.885043101
48	1.883151706
49	1.880607262
50	1.878656952
51	1.876633339
52	1.874591309
53	1.872915124
54	1.871343821
55	1.869750966
56	1.868248026
57	1.866731563
58	1.865635832
59	1.86430575
60	1.862951798
61	1.86165738
62	1.860499487
63	1.859416369
64	1.858242351
65	1.856991152
66	1.856130425
67	1.855293078
68	1.854318727
69	1.853420482
70	1.852495064
71	1.851387089
72	1.850692058
73	1.850001967
74	1.849150453
75	1.848435528
76	1.847899064
77	1.847241678
78	1.846422215
79	1.845840392
80	1.845135632
81	1.844693076
82	1.844140776
83	1.843703184
84	1.842869063
85	1.842428765
86	1.841714456
87	1.841389341
88	1.840913492
89	1.840597975
90	1.840101731
91	1.839491838
92	1.839053485
93	1.838756583
94	1.838290526
95	1.837726979
96	1.837127868
97	1.836820475
98	1.836303447
99	1.835904852
100	1.835184489
101	1.834736082
102	1.834183747
103	1.833734119
104	1.833458515
105	1.83305385
106	1.832568756
107	1.83212618
108	1.831580081
109	1.831280919
110	1.830902041
111	1.830548489
112	1.830203677
113	1.829585485
114	1.829360811
115	1.828987731
116	1.828577398
117	1.828241995
118	1.82789169
119	1.827604805
120	1.827290807
121	1.826920599
122	1.826533261
123	1.826217123
124	1.825869157
125	1.825535139
126	1.825194531
127	1.824847801
128	1.824390932
129	1.824200118
130	1.823853142
131	1.823516952
132	1.82325844
133	1.822909816
134	1.822547505
135	1.822383948
136	1.82226489
137	1.822080564
138	1.82195649
139	1.821444229
140	1.82127338
141	1.820904601
142	1.820399047
143	1.820289177
144	1.820079051
145	1.819808563
146	1.819721781
147	1.819606532
148	1.819344514
149	1.81896023
150	1.818511792
151	1.8182311
152	1.818166159
153	1.817954861
154	1.817748057
155	1.817420408
156	1.817118149
157	1.817024796
158	1.816547248
159	1.81603395
160	1.815709512
161	1.815459362
162	1.81507756
163	1.814892471
164	1.814469807
165	1.814261291
166	1.813927227
167	1.813667177
168	1.813362346
169	1.813120372
170	1.812864309
171	1.81270911
172	1.812474046
173	1.811980361
174	1.811780575
175	1.811635221
176	1.811238932
177	1.810838687
178	1.810733871
179	1.810470082
180	1.810274174
181	1.810017641
182	1.809455688
183	1.809064288
184	1.808869346
185	1.808493711
186	1.808233529
187	1.807963704
188	1.807628567
189	1.807214103
190	1.807067512
191	1.806629459
192	1.80622469
193	1.805734476
194	1.805448033
195	1.804851368
196	1.804413093
197	1.804030274
198	1.80393414
199	1.803728763
200	1.802997315
201	1.802558899
202	1.802259694
203	1.801766865
204	1.801505834
205	1.801207444
206	1.800920869
207	1.800499754
208	1.800040887
209	1.799563846
210	1.799240682
211	1.798649997
212	1.798268304
213	1.797663728
214	1.797112503
215	1.796761107
216	1.796376059
217	1.796135344
218	1.79559037
219	1.79475048
220	1.794416746
221	1.794069668
222	1.793539785
223	1.793057935
224	1.792453337
225	1.791766148
226	1.791247763
227	1.791029634
228	1.790895098
229	1.790511015
230	1.790059773
231	1.789878302
232	1.78953246
233	1.789139197
234	1.7888848
235	1.788129743
236	1.78752714
237	1.787066488
238	1.786671042
239	1.785699918
240	1.784651058
241	1.784386699
242	1.783806884
243	1.783269912
244	1.782700222
245	1.782281997
246	1.781461387
247	1.78132276
248	1.780765532
249	1.780288955
250	1.779574179
251	1.779087262
252	1.778727913
253	1.778212856
254	1.7776777
255	1.777582367
256	1.777105202
257	1.776524583
258	1.776123718
259	1.775678735
260	1.775453029
261	1.774902307
262	1.774423341
263	1.773989182
264	1.773431982
265	1.773151953
266	1.772716152
267	1.772121174
268	1.771593084
269	1.771288964
270	1.771052882
271	1.770678165
272	1.770174783
273	1.769760899
274	1.769220313
275	1.768707756
276	1.768612774
277	1.76813001
278	1.767974481
279	1.767454467
280	1.766834648
281	1.766299085
282	1.766068935
283	1.765774882
284	1.765096347
285	1.764881087
286	1.764122417
287	1.763261791
288	1.763101381
289	1.762749916
290	1.762227183
291	1.762122535
292	1.761509228
293	1.761318454
294	1.760983754
295	1.760832602
296	1.760610672
297	1.760273237
298	1.75956504
299	1.758870499
300	1.758489379
301	1.758152339
302	1.757678691
303	1.757396601
304	1.757102838
305	1.756913503
306	1.756212841
307	1.756030816
308	1.755298902
309	1.754833843
310	1.754274433
311	1.753315039
312	1.753203441
313	1.752455688
314	1.752072005
315	1.751411001
316	1.750757077
317	1.749966873
318	1.749638279
319	1.749085641
320	1.748829108
321	1.74833409
322	1.748229274
323	1.748083888
324	1.747250197
325	1.746962169
326	1.746392625
327	1.745607978
328	1.745288312
329	1.74469436
330	1.744391199
331	1.744110532
332	1.743910245
333	1.74358876
334	1.743270936
335	1.742503501
336	1.741847884
337	1.741424504
338	1.741079362
339	1.740633183
340	1.74021336
341	1.739874434
342	1.739381046
343	1.73886662
344	1.738783257
345	1.738244459
346	1.737906093
347	1.737594385
