iter	Passed	Remaining
0	178	167004
1	203	94896
2	226	70326
3	250	58272
4	278	51783
5	303	46864
6	326	43181
7	353	40896
8	377	38814
9	402	37173
10	425	35712
11	449	34516
12	472	33468
13	493	32431
14	515	31589
15	536	30781
16	560	30226
17	585	29774
18	606	29221
19	628	28704
20	649	28227
21	671	27854
22	694	27498
23	720	27324
24	740	26935
25	764	26685
26	785	26387
27	806	26109
28	831	25939
29	854	25735
30	884	25768
31	915	25798
32	937	25591
33	956	25331
34	980	25193
35	1006	25101
36	1028	24937
37	1050	24775
38	1074	24665
39	1106	24722
40	1130	24621
41	1154	24522
42	1180	24451
43	1202	24320
44	1223	24166
45	1244	24023
46	1267	23925
47	1290	23827
48	1313	23730
49	1336	23629
50	1357	23510
51	1378	23382
52	1403	23327
53	1426	23246
54	1450	23175
55	1471	23076
56	1491	22953
57	1512	22849
58	1538	22815
59	1563	22773
60	1581	22626
61	1599	22500
62	1622	22429
63	1643	22343
64	1662	22228
65	1686	22177
66	1704	22062
67	1728	22013
68	1750	21945
69	1772	21873
70	1792	21786
71	1811	21691
72	1834	21639
73	1853	21543
74	1873	21453
75	1892	21366
76	1910	21261
77	1927	21151
78	1949	21094
79	1971	21048
80	1992	20979
81	2010	20891
82	2031	20824
83	2046	20705
84	2064	20622
85	2083	20544
86	2101	20458
87	2120	20381
88	2137	20290
89	2155	20211
90	2176	20160
91	2198	20120
92	2216	20042
93	2230	19930
94	2245	19835
95	2264	19767
96	2284	19712
97	2304	19662
98	2321	19583
99	2338	19503
100	2359	19461
101	2376	19381
102	2393	19311
103	2414	19272
104	2431	19198
105	2448	19125
106	2465	19054
107	2484	19001
108	2507	18976
109	2524	18907
110	2539	18828
111	2558	18774
112	2574	18706
113	2592	18645
114	2608	18574
115	2625	18515
116	2641	18448
117	2658	18384
118	2677	18338
119	2694	18277
120	2709	18203
121	2724	18132
122	2741	18076
123	2756	18008
124	2770	17932
125	2787	17874
126	2802	17809
127	2816	17736
128	2833	17680
129	2852	17640
130	2868	17584
131	2883	17517
132	2897	17451
133	2916	17411
134	2938	17393
135	2956	17347
136	2970	17282
137	2986	17224
138	3000	17162
139	3018	17118
140	3035	17071
141	3055	17039
142	3076	17018
143	3095	16981
144	3109	16919
145	3125	16866
146	3139	16809
147	3157	16767
148	3172	16711
149	3188	16663
150	3207	16632
151	3224	16590
152	3239	16536
153	3255	16488
154	3272	16445
155	3288	16402
156	3306	16362
157	3320	16308
158	3337	16266
159	3357	16242
160	3381	16233
161	3397	16188
162	3415	16155
163	3437	16137
164	3458	16118
165	3475	16079
166	3494	16049
167	3517	16039
168	3536	16007
169	3555	15977
170	3579	15973
171	3600	15952
172	3619	15921
173	3642	15911
174	3667	15907
175	3684	15866
176	3703	15837
177	3721	15805
178	3735	15754
179	3750	15710
180	3764	15659
181	3779	15617
182	3800	15595
183	3818	15564
184	3835	15526
185	3853	15497
186	3872	15469
187	3891	15443
188	3915	15432
189	3933	15404
190	3950	15365
191	3966	15330
192	3985	15301
193	4005	15277
194	4021	15241
195	4038	15205
196	4055	15171
197	4078	15160
198	4089	15106
199	4106	15071
200	4126	15048
201	4146	15024
202	4162	14987
203	4183	14969
204	4199	14934
205	4218	14908
206	4235	14876
207	4252	14841
208	4268	14807
209	4327	14918
210	4354	14919
211	4375	14902
212	4394	14873
213	4413	14849
214	4432	14823
215	4450	14792
216	4466	14758
217	4483	14724
218	4501	14696
219	4520	14671
220	4537	14640
221	4555	14611
222	4573	14582
223	4586	14538
224	4603	14505
225	4622	14480
226	4641	14457
227	4656	14420
228	4671	14380
229	4692	14364
230	4724	14376
231	4746	14363
232	4767	14342
233	4787	14322
234	4809	14305
235	4834	14299
236	4858	14287
237	4877	14264
238	4900	14250
239	4927	14249
240	4955	14249
241	4979	14239
242	5008	14241
243	5028	14220
244	5051	14205
245	5072	14186
246	5093	14165
247	5108	14129
248	5126	14101
249	5144	14074
250	5164	14052
251	5181	14022
252	5199	13996
253	5219	13972
254	5242	13959
255	5259	13928
256	5279	13908
257	5295	13874
258	5312	13844
259	5333	13826
260	5350	13797
261	5371	13776
262	5385	13739
263	5398	13700
264	5416	13673
265	5434	13646
266	5449	13613
267	5466	13584
268	5489	13570
269	5505	13539
270	5524	13515
271	5544	13493
272	5565	13474
273	5579	13440
274	5597	13414
275	5618	13394
276	5633	13360
277	5646	13323
278	5663	13296
279	5687	13283
280	5709	13268
281	5731	13251
282	5752	13232
283	5773	13213
284	5798	13203
285	5823	13195
